,WhereToBuy,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating,Name
0,"$1,048.79;at Lenovo;(Opens in a new window)",7:13,Windows 11 Home,5.29 lbs,0.95 by 14.1 by 10.3 inches,"Wi-Fi 6E, Bluetooth",165 Hz,G-Sync,IPS,,2560 by 1440,15.6 inches,512 GB,SSD,16 GB,,Intel Core i7-12700H,Gaming,4.0;Editor Review,Lenovo Legion 5i Gen 7
1,"$1,099.25;at Amazon;(Opens in a new window);$999.99;at Micro Center;(Opens in a new window)",4:15,Windows 10 Home,4.96 lbs,0.98 by 14.13 by 10.2 inches,"802.11ax, Bluetooth",144 Hz,None,IPS,,1920 by 1080,15.6 inches,1 TB,SSD,16 GB,2.3 GHz,Intel Core i7-11800H,Gaming,Editors' Choice;4.0;Editor Review,MSI Katana GF66
2,"$1,299.99;at Amazon;(Opens in a new window)",10:14,Windows 11,6.61 pounds,1.1 by 15.77 by 11.59 inches,"Wi-Fi 6E, Bluetooth",144 Hz,None,IPS,,"1,920 by 1,080",17.3 inches,1 TB,SSD,16 GB,3.2 GHz,AMD Ryzen 7 6800H,Gaming,3.5;Editor Review,Acer Nitro 5 (2022; 17-Inch)
3,"$1,199.00;at Amazon;(Opens in a new window);$1,299.99;at Acer;(Opens in a new window)",7:11,Windows 10 Home,4.8 lbs,0.9 by 14.3 by 10 inches,802.11ax (Wi-Fi 6),144 Hz,None,IPS,,"1,920 by 1,080",15.6 inches,512 GB,SSD,16 GB,2.3 GHz,Intel Core i7-11800H,Gaming,3.5;Editor Review,Acer Predator Helios 300 (2022)
4,"$1,399.99;at Lenovo;(Opens in a new window)",8:40,Windows 11 Home,5.49 lbs,0.78 by 14.2 by 10.3 inches,Wi-Fi 6E,165 Hz,G-Sync,IPS,,"2,560 by 1,600",16 inches,1 TB,SSD,32 GB,3.2 GHz,AMD Ryzen 7 6800H,Gaming,4.0;Editor Review,Lenovo Legion 5 Pro Gen 7 (2022)
5,"$2,162.13;at Amazon;(Opens in a new window)",5:29,Windows 11,4.4 lbs,0.67 by 13.98 by 9.25 inches,"Wi-Fi 6E, Bluetooth",240 Hz,G-Sync,IPS,,2560 by 1440,15.6 inches,1 TB,SSD,16 GB,2.4 GHz,Intel Core i7-12800H,Gaming,4.0;Editor Review,Razer Blade 15 Advanced Model (2022)
6,"$2,432.42;at Amazon;(Opens in a new window);$2,199.00;at Acer;(Opens in a new window)",7:32,Windows 11 Home,5.29 lbs,0.86 by 14.11 by 10.33 inches,"802.11ax, Bluetooth",240 Hz,G-Sync,IPS,,2560 by 1600,16 inches,1 TB,SSD,16 GB,,Intel Core i7-12700H,Gaming,Editors' Choice;4.0;Editor Review,Acer Predator Triton 300 SE (2022; 16-Inch)
7,"$1,099.99;at Best Buy;(Opens in a new window);$1,199.00;at Amazon;(Opens in a new window)",10:08,Windows 11 Home,3.64 lbs,0.73 by 12.28 by 8.94 inches,"Wi-Fi 6E, Bluetooth",120 Hz,FreeSync,IPS,,2560 by 1600,14 inches,1 TB,SSD,32 GB,3.3 GHz,AMD Ryzen 9 6900HS,Gaming,Editors' Choice;4.5;Editor Review,Asus ROG Zephyrus G14 (2022)
8,"$1,199.99;at Dell;(Opens in a new window)",8:43,Windows 11,3.96 lbs,0.57 by 12.66 by 10.34 inches,"Bluetooth, Wi-Fi 6E",144 Hz,None,IPS,,1920 by 1080,14 inches,2 TB,SSD,32 GB,2.7 GHz,Intel Core i7-12700H,Gaming,Editors' Choice;4.5;Editor Review,Alienware x14
9,"$2,899.00;at Amazon;(Opens in a new window);$4,399.99;at Newegg;(Opens in a new window)",6:34,Windows 11 Pro,5.07 lbs,0.88 by 14.02 by 9.78 inches,"Wi-Fi 6E, Bluetooth",60 Hz,,AMOLED,,3840 by 2400,16 inches,1 TB,SSD,32 GB,2.5 GHz,Intel Core i9-12900HK,Desktop Replacement,4.0;Editor Review,Gigabyte Aero 16
10,"$5,390.00;at Amazon;(Opens in a new window);$3,899.99;at Newegg;(Opens in a new window)",8:14,Windows 11 Pro,6.77 lbs,1.21 by 15.71 by 11.57 inches,"802.11ax, Bluetooth 5.2",240 Hz,G-Sync,IPS,,2560 by 1600,18 inches,2 TB,SSD,32 GB,,Intel Core i9-13980HX,Gaming,4.0;Editor Review,Asus ROG Strix Scar 18
11,$649.00;at Amazon;(Opens in a new window);$549.00;at Best Buy;(Opens in a new window),9:41,Google Chrome OS,3.75 lbs,0.84 by 14 by 9.8 inches,"Wi-Fi 6E, Bluetooth 5.2",120 Hz,None,IPS,,2560 by 1600,16 inches,256 GB,SSD,8 GB,,Intel Core i5-1240P,Chromebook,Editors' Choice;4.0;Editor Review,Acer Chromebook 516 GE
