,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
0,Apple MacBook Air (M1; Late 2020),Apple MacBook Pro 16-Inch (2023; M2 Max),HP Elite Dragonfly G3,Microsoft Surface Pro 9 (SQ3),HP Envy 16,Lenovo Yoga 6 (13-Inch),Acer Swift 3 (2021),HP Envy 14,LG Gram 17 (2022),Panasonic Toughbook G2
1,#EditorsRating:Editors' Choice;4.5;Editor Review,#EditorsRating:Editors' Choice;5.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:3.5;Editor Review,#EditorsRating:Editors' Choice;4.5;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:3.5;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:4.0;Editor Review
2,#LaptopClass:Ultraportable,"#LaptopClass:Business, Workstation","#LaptopClass:Ultraportable, Business",#LaptopClass:Detachable 2-in-1,#LaptopClass:Desktop Replacement,#LaptopClass:Convertible 2-in-1,#LaptopClass:Ultraportable,#LaptopClass:Ultraportable,#LaptopClass:Ultraportable,"#LaptopClass:Rugged, Detachable 2-in-1"
3,#Processor:Apple M1,#Processor:Apple M2 Max,#Processor:Intel Core i7-1265U,#Processor:Microsoft SQ3,#Processor:Intel Core i7-12700H,#Processor:AMD Ryzen 7 5700U,#Processor:Intel Core i7-1165G7,#Processor:Intel Core i5-1135G7,#Processor:Intel Core i7-1260P,#Processor:Intel Core i5-10310U
4,#ProcessorSpeed:3.2 GHz,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:,#ProcessorSpeed:1.8 GHz,#ProcessorSpeed:2.8 GHz,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:,#ProcessorSpeed:1.7 GHz
5,#RamAsTested:8 GB,#RamAsTested:96 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB
6,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD
7,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:4 TB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:512 GB
8,#ScreenSize:13.3 inches,#ScreenSize:16.2 inches,#ScreenSize:13.5 inches,#ScreenSize:13 inches,#ScreenSize:16 inches,#ScreenSize:13.3 inches,#ScreenSize:14 inches,#ScreenSize:14 inches,#ScreenSize:17 inches,#ScreenSize:10.1 inches
9,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:3456 by 2234,#NativeDisplayResolution:1920 by 1280,#NativeDisplayResolution:2880 by 1920,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:1920 by 1080,"#NativeDisplayResolution:1,920 by 1,080",#NativeDisplayResolution:1920 by 1200,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:1920 by 1200
10,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
11,#PanelTechnology:IPS,#PanelTechnology:Mini LED,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:OLED,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS
