,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
0,Microsoft Surface Laptop Go 2,Acer Aspire 5 (2022; A515-57-56UV),Lenovo IdeaPad Flex 5i 14-Inch (2022),Lenovo IdeaPad Windows Duet 5i,HP Laptop 17 (2022),Lenovo IdeaPad 3i 15 (2022),Lenovo Legion 5i Gen 7,Acer Chromebook 514 (2022; Kompanio 828),Asus Chromebook Flip CM3,Lenovo IdeaPad Duet 3 Chromebook,Lenovo IdeaPad 1 14
1,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:3.5;Editor Review,#EditorsRating:4.0;Editor Review
2,#LaptopClass:Budget,#LaptopClass:Budget,#LaptopClass:Convertible 2-in-1,#LaptopClass:Detachable 2-in-1,#LaptopClass:Budget,"#LaptopClass:Budget, Desktop Replacement",#LaptopClass:Gaming,#LaptopClass:Chromebook,"#LaptopClass:Convertible 2-in-1, Budget","#LaptopClass:Chromebook, Detachable 2-in-1",#LaptopClass:Budget
3,#Processor:Intel Core i5-1135G7,#Processor:Intel Core i5-1235U,#Processor:Intel Core i5-1235U,#Processor:Intel Core i3-1215U,#Processor:AMD Ryzen 5 5625U,#Processor:Intel Core i5-1235U,#Processor:Intel Core i7-12700H,#Processor:MediaTek Kompanio 828,#Processor:MediaTek Kompanio 820,#Processor:Qualcomm Snapdragon 7c Gen 2,#Processor:AMD Athlon SIlver 3050e
4,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.3 GHz,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.6 GHz,#ProcessorSpeed:2.2 GHz,#ProcessorSpeed:2.55 GHz,#ProcessorSpeed:1.4 GHz
5,#RamAsTested:8 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:8 GB,#RamAsTested:8 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:4 GB,#RamAsTested:4 GB,#RamAsTested:4 GB
6,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:eMMC Flash Memory,#BootDriveType:eMMC Flash Memory,#BootDriveType:eMMC Flash Memory,#BootDriveType:SSD
7,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:128 GB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:128 GB
8,#ScreenSize:12.4 inches,#ScreenSize:15.6 inches,#ScreenSize:14 inches,#ScreenSize:12.35 inches,#ScreenSize:17.3 inches,#ScreenSize:15.6 inches,#ScreenSize:15.6 inches,#ScreenSize:14 inches,#ScreenSize:12 inches,#ScreenSize:10.95 inches,#ScreenSize:14 inches
9,#NativeDisplayResolution:1536 by 1024,"#NativeDisplayResolution:1,920 by 1,080",#NativeDisplayResolution:1920 by 1200,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:2560 by 1440,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:1366 by 912,#NativeDisplayResolution:2000 by 1200,#NativeDisplayResolution:1920 by 1080
