,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
0,#Processor:Intel Core i5-1135G7,#Processor:Intel Core i5-1235U,#Processor:Intel Core i5-1235U,#Processor:Intel Core i3-1215U,#Processor:AMD Ryzen 5 5625U,#Processor:Intel Core i5-1235U,#Processor:Intel Core i7-12700H,#Processor:MediaTek Kompanio 828,#Processor:MediaTek Kompanio 820,#Processor:Qualcomm Snapdragon 7c Gen 2,#Processor:AMD Athlon SIlver 3050e
1,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.3 GHz,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.6 GHz,#ProcessorSpeed:2.2 GHz,#ProcessorSpeed:2.55 GHz,#ProcessorSpeed:1.4 GHz
2,#RamAsTested:8 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:8 GB,#RamAsTested:8 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:4 GB,#RamAsTested:4 GB,#RamAsTested:4 GB
3,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:eMMC Flash Memory,#BootDriveType:eMMC Flash Memory,#BootDriveType:eMMC Flash Memory,#BootDriveType:SSD
4,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:128 GB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:128 GB
5,#ScreenSize:12.4 inches,#ScreenSize:15.6 inches,#ScreenSize:14 inches,#ScreenSize:12.35 inches,#ScreenSize:17.3 inches,#ScreenSize:15.6 inches,#ScreenSize:15.6 inches,#ScreenSize:14 inches,#ScreenSize:12 inches,#ScreenSize:10.95 inches,#ScreenSize:14 inches
6,#NativeDisplayResolution:1536 by 1024,"#NativeDisplayResolution:1,920 by 1,080",#NativeDisplayResolution:1920 by 1200,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:2560 by 1440,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:1366 by 912,#NativeDisplayResolution:2000 by 1200,#NativeDisplayResolution:1920 by 1080
7,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
8,#PanelTechnology:LCD,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:LTPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:LCD,#PanelTechnology:IPS,#PanelTechnology:TN
9,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:G-Sync,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
