,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13
0,#SoldBy:Amazon,#ListPrice:$679.00,#Price:$679.00,See It;(Opens in a new window),,,,,,
1,#SoldBy:Best Buy,#ListPrice:$729.00,#Price:$499.00,See It;(Opens in a new window),,,,,,
2,#SoldBy:Walmart,#ListPrice:$924.99,#Price:$635.99,See It;(Opens in a new window),,,,,,
3,"Apple MacBook Air (M1, Late 2020) Image;Apple MacBook Air (M1, Late 2020);See It;$708.99;at Amazon;(Opens in a new window)",Microsoft Surface Laptop Go 2 Image;Microsoft Surface Laptop Go 2;See It;$641.29;at Amazon;(Opens in a new window),"Lenovo IdeaPad Slim 7 Carbon Image;Lenovo IdeaPad Slim 7 Carbon;See It;$1,259.99;at Lenovo;(Opens in a new window)",HP Pavilion Plus 14 Image;HP Pavilion Plus 14;See It;$569.99;at HP;(Opens in a new window),Lenovo IdeaPad Flex 5i 14-Inch (2022) Image;Lenovo IdeaPad Flex 5i 14-Inch (2022);See It;$729.99;at Lenovo;(Opens in a new window),"Lenovo Legion 5i Gen 7 Image;Lenovo Legion 5i Gen 7;See It;$1,048.79;at Lenovo;(Opens in a new window)","Dell Inspiron 16 Plus (7610) Image;Dell Inspiron 16 Plus (7610);See It;$1,859.99;at Dell;(Opens in a new window)",HP Laptop 17 (2022) Image;HP Laptop 17 (2022);See It;$649.99;at HP;(Opens in a new window),Lenovo IdeaPad Windows Duet 5i Image;Lenovo IdeaPad Windows Duet 5i;See It;$529.99;at Lenovo;(Opens in a new window),Acer Chromebook Spin 714 Image;Acer Chromebook Spin 714;See It;$679.00;at Amazon;(Opens in a new window)
4,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:Editors' Choice;4.5;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:Editors' Choice;4.5;Editor Review
5,#LaptopClass:Ultraportable,#LaptopClass:Ultraportable,#LaptopClass:Budget,#LaptopClass:Ultraportable,#LaptopClass:Convertible 2-in-1,#LaptopClass:Gaming,#LaptopClass:Desktop Replacement,#LaptopClass:Budget,#LaptopClass:Detachable 2-in-1,#LaptopClass:Chromebook
6,#Processor:Intel Core i7-12700H,#Processor:Apple M1,#Processor:Intel Core i5-1135G7,#Processor:AMD Ryzen 7 5800U,#Processor:Intel Core i5-1235U,#Processor:Intel Core i7-12700H,#Processor:Intel Core i7-11800H,#Processor:AMD Ryzen 5 5625U,#Processor:Intel Core i3-1215U,#Processor:Intel Core i5-1235U
7,#ProcessorSpeed:,#ProcessorSpeed:3.2 GHz,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:1.9 GHz,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.3 GHz,#ProcessorSpeed:2.3 GHz,#ProcessorSpeed:,#ProcessorSpeed:
8,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:8 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:8 GB,#RamAsTested:8 GB
9,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD
10,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:128 GB,#BootDriveCapacityAsTested:256 GB
11,#ScreenSize:14 inches,#ScreenSize:13.3 inches,#ScreenSize:12.4 inches,#ScreenSize:14 inches,#ScreenSize:14 inches,#ScreenSize:15.6 inches,#ScreenSize:16 inches,#ScreenSize:17.3 inches,#ScreenSize:12.35 inches,#ScreenSize:14 inches
12,"#NativeDisplayResolution:2,880 by 1,800",#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:1536 by 1024,#NativeDisplayResolution:2880 by 1800,#NativeDisplayResolution:1920 by 1200,#NativeDisplayResolution:2560 by 1440,#NativeDisplayResolution:3072 by 1920,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:1920 by 1200
13,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
14,#PanelTechnology:OLED,#PanelTechnology:IPS,#PanelTechnology:LCD,#PanelTechnology:OLED,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:LED,#PanelTechnology:IPS,#PanelTechnology:LTPS,#PanelTechnology:IPS
15,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:G-Sync,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
16,#ScreenRefreshRate:90 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:90 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:165 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz
17,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Apple M1,#GraphicsProcessor:Intel Iris Xe,#GraphicsProcessor:AMD Radeon Graphics,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Nvidia GeForce RTX 3060,#GraphicsProcessor:Nvidia GeForce RTX 3050,#GraphicsProcessor:AMD Radeon Graphics,#GraphicsProcessor:Intel UHD Graphics,#GraphicsProcessor:Intel Iris Xe Graphics
18,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:6 GB,#GraphicsMemory:4 GB,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:
19,#WirelessNetworking:802.11ax (Wi-Fi 6),"#WirelessNetworking:802.11ax, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Bluetooth, 802.11ax (Wi-Fi 6)","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax, Bluetooth","#WirelessNetworking:802.11ax, Bluetooth",#WirelessNetworking:Wi-Fi 6E,"#WirelessNetworking:Bluetooth, 802.11ax (Wi-Fi 6)"
20,#DimensionsHwd:0.72 by 12.3 by 8.8 inches,#DimensionsHwd:0.63 by 11.97 by 8.36 inches,#DimensionsHwd:0.62 by 10.95 by 8.12 inches,#DimensionsHwd:0.59 by 12.3 by 8.5 inches,#DimensionsHwd:0.69 by 12.3 by 8.9 inches,#DimensionsHwd:0.95 by 14.1 by 10.3 inches,#DimensionsHwd:0.75 by 13.99 by 9.74 inches,#DimensionsHwd:0.81 by 15.78 by 10.15 inches,#DimensionsHwd:0.35 by 11.22 by 7.36 inches,#DimensionsHwd:0.71 by 12.3 by 8.8 inches
21,#Weight:3.09 lbs,#Weight:2.8 lbs,#Weight:2.48 lbs,#Weight:2.42 lbs,#Weight:3.31 lbs,#Weight:5.29 lbs,#Weight:4.43 lbs,#Weight:4.58 lbs,#Weight:2.53 lbs,#Weight:3.09 lbs
22,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Apple macOS,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 10,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11,#OperatingSystem:Chrome OS
23,#TestedBatteryLifeHoursMinutes:9:30,#TestedBatteryLifeHoursMinutes:29:01,#TestedBatteryLifeHoursMinutes:12:35,#TestedBatteryLifeHoursMinutes:13:56,#TestedBatteryLifeHoursMinutes:10:36,#TestedBatteryLifeHoursMinutes:7:13,#TestedBatteryLifeHoursMinutes:13:47,#TestedBatteryLifeHoursMinutes:11:01,#TestedBatteryLifeHoursMinutes:8:25,#TestedBatteryLifeHoursMinutes:12:52
24,#WhereToBuy:$569.99;at HP;(Opens in a new window),#WhereToBuy:$708.99;at Amazon;(Opens in a new window);$799.99;at Best Buy;(Opens in a new window),#WhereToBuy:$641.29;at Amazon;(Opens in a new window);$699.99;at Best Buy;(Opens in a new window),"#WhereToBuy:$1,259.99;at Lenovo;(Opens in a new window);$988.33;at Amazon;(Opens in a new window)",#WhereToBuy:$729.99;at Lenovo;(Opens in a new window),"#WhereToBuy:$1,048.79;at Lenovo;(Opens in a new window)","#WhereToBuy:$1,859.99;at Dell;(Opens in a new window)",#WhereToBuy:$649.99;at HP;(Opens in a new window),#WhereToBuy:$529.99;at Lenovo;(Opens in a new window),#WhereToBuy:$679.00;at Amazon;(Opens in a new window);$499.00;at Best Buy;(Opens in a new window)
