,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
0,HP Pavilion Laptop 14 (2022) Image;HP Pavilion Laptop 14 (2022);See It;$449.99;at HP;(Opens in a new window),Lenovo IdeaPad 3i 15 (2022) Image;Lenovo IdeaPad 3i 15 (2022);See It;$529.99;at Amazon;(Opens in a new window),Acer Aspire Vero (2022) Image;Acer Aspire Vero (2022);See It;$506.50;at Amazon;(Opens in a new window),Microsoft Surface Laptop Go 2 Image;Microsoft Surface Laptop Go 2;See It;$641.29;at Amazon;(Opens in a new window),Lenovo IdeaPad Windows Duet 5i Image;Lenovo IdeaPad Windows Duet 5i;See It;$529.99;at Lenovo;(Opens in a new window),Lenovo IdeaPad Duet 3 Chromebook Image;Lenovo IdeaPad Duet 3 Chromebook;See It;$379.00;at Lenovo;(Opens in a new window),Asus Chromebook Flip CM3 Image;Asus Chromebook Flip CM3;See It;$296.99;at Amazon;(Opens in a new window),"Acer Nitro 5 (2022, 15.6-Inch, 12th Gen Core) Image;Acer Nitro 5 (2022, 15.6-Inch, 12th Gen Core);See It;$898.00;at Amazon;(Opens in a new window)",Acer Chromebook 516 GE Image;Acer Chromebook 516 GE;See It;$649.00;at Amazon;(Opens in a new window)
1,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review,#EditorsRating:3.5;Editor Review,#EditorsRating:4.0;Editor Review,#EditorsRating:3.5;Editor Review,#EditorsRating:Editors' Choice;4.0;Editor Review
2,#LaptopClass:Budget,"#LaptopClass:Budget, Desktop Replacement",#LaptopClass:Ultraportable,#LaptopClass:Budget,#LaptopClass:Detachable 2-in-1,"#LaptopClass:Chromebook, Detachable 2-in-1","#LaptopClass:Convertible 2-in-1, Budget",#LaptopClass:Gaming,#LaptopClass:Chromebook
3,#Processor:Intel Core i5-1235U,#Processor:Intel Core i5-1235U,#Processor:Intel Core i7-1255U,#Processor:Intel Core i5-1135G7,#Processor:Intel Core i3-1215U,#Processor:Qualcomm Snapdragon 7c Gen 2,#Processor:MediaTek Kompanio 820,#Processor:Intel Core i5-12500H,#Processor:Intel Core i5-1240P
4,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:,#ProcessorSpeed:2.55 GHz,#ProcessorSpeed:2.2 GHz,#ProcessorSpeed:,#ProcessorSpeed:
5,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:8 GB,#RamAsTested:4 GB,#RamAsTested:4 GB,#RamAsTested:16 GB,#RamAsTested:8 GB
6,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:eMMC Flash Memory,#BootDriveType:eMMC Flash Memory,#BootDriveType:SSD,#BootDriveType:SSD
7,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:128 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:64 GB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:256 GB
8,#ScreenSize:14 inches,#ScreenSize:15.6 inches,#ScreenSize:14 inches,#ScreenSize:12.4 inches,#ScreenSize:12.35 inches,#ScreenSize:10.95 inches,#ScreenSize:12 inches,#ScreenSize:15.6 inches,#ScreenSize:16 inches
9,"#NativeDisplayResolution:1,920 by 1,080",#NativeDisplayResolution:1920 by 1080,"#NativeDisplayResolution:1,920 by 1,080",#NativeDisplayResolution:1536 by 1024,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:2000 by 1200,#NativeDisplayResolution:1366 by 912,#NativeDisplayResolution:1920 by 1080,#NativeDisplayResolution:2560 by 1600
10,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
11,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:LCD,#PanelTechnology:LTPS,#PanelTechnology:IPS,#PanelTechnology:LCD,#PanelTechnology:IPS,#PanelTechnology:IPS
12,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
13,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:144 Hz,#ScreenRefreshRate:120 Hz
