,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
0,#Processor:Intel Core i7-1260P,#Processor:Intel Core i5-1135G7,#Processor:Apple M2,#Processor:Intel Core i7-12700H,#Processor:AMD Ryzen 9 6900HX,#Processor:Apple M2,#Processor:Apple M2 Max,#Processor:Intel Core i7-1255U,#Processor:Intel Core i3-1215U,#Processor:Intel Core i9-12950HX,#Processor:Intel Core i7-1165G7
1,#ProcessorSpeed:,#ProcessorSpeed:2.4 GHz,#ProcessorSpeed:,#ProcessorSpeed:2.3 GHz,#ProcessorSpeed:3.3 GHz,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:,#ProcessorSpeed:2.8 GHz
2,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:16 GB,#RamAsTested:32 GB,#RamAsTested:32 GB,#RamAsTested:16 GB,#RamAsTested:96 GB,#RamAsTested:16 GB,#RamAsTested:8 GB,#RamAsTested:64 GB,#RamAsTested:16 GB
3,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD,#BootDriveType:SSD
4,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:256 GB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:1 TB,#BootDriveCapacityAsTested:4 TB,#BootDriveCapacityAsTested:512 GB,#BootDriveCapacityAsTested:128 GB,#BootDriveCapacityAsTested:2 TB,#BootDriveCapacityAsTested:512 GB
5,#ScreenSize:14 inches,#ScreenSize:13.5 inches,#ScreenSize:13.6 inches,#ScreenSize:17 inches,#ScreenSize:17.3 inches,#ScreenSize:13.3 inches,#ScreenSize:16.2 inches,#ScreenSize:14 inches,#ScreenSize:12.35 inches,#ScreenSize:16 inches,#ScreenSize:13.5 inches
6,#NativeDisplayResolution:1920 by 1200,"#NativeDisplayResolution:2,256 by 1,504",#NativeDisplayResolution:2560 by 1664,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:3840 by 2160,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:3456 by 2234,#NativeDisplayResolution:2240 by 1400,#NativeDisplayResolution:2560 by 1600,#NativeDisplayResolution:3840 by 2400,#NativeDisplayResolution:2256 by 1504
7,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:,#TouchScreen:
8,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:IPS,#PanelTechnology:Mini LED,#PanelTechnology:IPS,#PanelTechnology:LTPS,#PanelTechnology:IPS,#PanelTechnology:IPS
9,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:FreeSync,#VariableRefreshSupport:,#VariableRefreshSupport:ProMotion,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None,#VariableRefreshSupport:None
10,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:120 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz,#ScreenRefreshRate:60 Hz
11,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Apple M2,#GraphicsProcessor:Nvidia GeForce RTX 3060 Laptop GPU,#GraphicsProcessor:AMD Radeon 6850M XT,#GraphicsProcessor:Apple M2,#GraphicsProcessor:Apple M2 Max (38-core),#GraphicsProcessor:Intel Iris Xe Graphics,#GraphicsProcessor:Intel UHD Graphics,#GraphicsProcessor:Nvidia RTX A5500,#GraphicsProcessor:Intel Iris Xe
12,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:6 GB,#GraphicsMemory:12 GB,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:,#GraphicsMemory:16 GB,#GraphicsMemory:
13,"#WirelessNetworking:Wi-Fi 6E, Bluetooth",#WirelessNetworking:802.11ax (Wi-Fi 6),"#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth","#WirelessNetworking:Wi-Fi 6E, Bluetooth 5.3","#WirelessNetworking:Wi-Fi 6E, Bluetooth 5.2",#WirelessNetworking:Wi-Fi 6E,"#WirelessNetworking:Wi-Fi 6E, Bluetooth","#WirelessNetworking:802.11ax (Wi-Fi 6), Bluetooth"
14,#DimensionsHwd:0.6 by 12.4 by 8.8 inches,#DimensionsHwd:0.67 by 11.8 by 9.3 inches,#DimensionsHwd:0.44 by 11.97 by 8.46 inches,#DimensionsHwd:0.77 by 14.74 by 9.76 inches,#DimensionsHwd:1.05 by 15.64 by 11.76 inches,#DimensionsHwd:0.61 by 12 by 8.4 inches,#DimensionsHwd:0.66 by 14 by 9.8 inches,#DimensionsHwd:0.68 by 12.47 by 8.67 inches,#DimensionsHwd:0.35 by 11.22 by 7.36 inches,#DimensionsHwd:1.2 by 14.3 by 10.5 inches,#DimensionsHwd:0.62 by 11.7 by 9 inches
15,#Weight:2.48 lbs,#Weight:3.2 lbs,#Weight:2.7 lbs,#Weight:5.34 lbs,#Weight:7.3 lbs,#Weight:3 lbs,#Weight:4.8 lbs,#Weight:3.2 lbs,#Weight:2.53 lbs,#Weight:6.4 lbs,#Weight:2.8 lbs
16,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Google Chrome OS,#OperatingSystem:Apple macOS,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11,#OperatingSystem:Apple macOS,#OperatingSystem:Apple macOS Ventura,#OperatingSystem:Windows 11 Home,#OperatingSystem:Windows 11,#OperatingSystem:Windows 11 Pro,#OperatingSystem:Windows 10 Home
17,#TestedBatteryLifeHoursMinutes:12:18,#TestedBatteryLifeHoursMinutes:11:10,#TestedBatteryLifeHoursMinutes:12:55,#TestedBatteryLifeHoursMinutes:11:31,#TestedBatteryLifeHoursMinutes:9:09,#TestedBatteryLifeHoursMinutes:21:55,#TestedBatteryLifeHoursMinutes:26:51,#TestedBatteryLifeHoursMinutes:13:59,#TestedBatteryLifeHoursMinutes:8:25,#TestedBatteryLifeHoursMinutes:7:44,#TestedBatteryLifeHoursMinutes:9:26
18,"#WhereToBuy:$1,579.00;at Amazon;(Opens in a new window);$1,280.95;at Lenovo;(Opens in a new window)",#WhereToBuy:$699.95;at Amazon;(Opens in a new window),"#WhereToBuy:$1,198.76;at Amazon;(Opens in a new window)","#WhereToBuy:$1,849.00;at Dell;(Opens in a new window)","#WhereToBuy:$1,399.99;at Dell;(Opens in a new window)","#WhereToBuy:$1,199.00;at Amazon;(Opens in a new window);$1,099.00;at Best Buy;(Opens in a new window)","#WhereToBuy:$2,499.00;at Apple.com;(Opens in a new window)","#WhereToBuy:$1,149.00;at Amazon;(Opens in a new window);$854.99;at Lenovo;(Opens in a new window)",#WhereToBuy:$529.99;at Lenovo;(Opens in a new window),"#WhereToBuy:$1,475.10;at Lenovo;(Opens in a new window)",#WhereToBuy:$999.00;at Framework;(Opens in a new window)
