"Source Url","Url","Column 4","Column 5","Column 6","Column 7","Column 8","Column 9","Column 10","Column 11","Column 12","Column 13"
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","https://cc.pcmag.com/v1/otc/01r1WRIAJykbQgN4oGQ8FSi?merchant=053mLh2CqQ87B6COi2cD2og&url=https%3A%2F%2Fwww.hp.com%2Fus-en%2Fshop%2Fpdp%2Fhp-spectre-x360-2-in-1-laptop-14-ef0747nr&template=roundup-page&module=Best_Product_Card&element=roundup-product-card&item=buy-button&position=8&element_label=See+It&u=https%3A%2F%2Fwww.pcmag.com%2Fpicks%2Fthe-best-laptops-for-video-editing&cd2=Roundup&object_type=review&object_uuid=042gs1P3GD5s7BjaZpL5YMm&product_uuid=01sZH7QtNm5bofD0dHtHvQp","#SoldBy:HP","#ListPrice:$1,249.99","#Price:$929.99","See It;(Opens in a new window)","","","","","",""
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","https://cc.pcmag.com/v1/otc/01r1WRIAJykbQgN4oGQ8FSi?merchant=05kie42h3YvHwjr4G1w80Qq&url=https%3A%2F%2Fwww.amazon.com%2FHP-Pavilion-x360-Touchscreen-i5-1135G7%2Fdp%2FB09MQWT1KR&template=roundup-page&module=Best_Product_Card&element=roundup-product-card&item=buy-button&position=8&element_label=Check+Stock&u=https%3A%2F%2Fwww.pcmag.com%2Fpicks%2Fthe-best-laptops-for-video-editing&cd2=Roundup&object_type=review&object_uuid=042gs1P3GD5s7BjaZpL5YMm&product_uuid=01sZH7QtNm5bofD0dHtHvQp","#SoldBy:Amazon","#ListPrice:$799.99","#Price:$799.99","Check Stock;(Opens in a new window)","","","","","",""
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","https://cc.pcmag.com/v1/otc/01r1WRIAJykbQgN4oGQ8FSi?merchant=07ceq7iAfFfRlRYt8DCvPYM&url=https%3A%2F%2Fwww.bestbuy.com%2Fsite%2Fhp-spectre-x360-2-in-1-13-4k-oled-touch-screen-laptop-intel-evo-platform-core-i5-8gb-memory-512gb-ssd-32gb-optane-nightfall-black%2F6430667.p%3FskuId%3D6430667&template=roundup-page&module=Best_Product_Card&element=roundup-product-card&item=buy-button&position=8&element_label=Check+Stock&u=https%3A%2F%2Fwww.pcmag.com%2Fpicks%2Fthe-best-laptops-for-video-editing&cd2=Roundup&object_type=review&object_uuid=042gs1P3GD5s7BjaZpL5YMm&product_uuid=01sZH7QtNm5bofD0dHtHvQp","#SoldBy:Best Buy","#ListPrice:$1,329.99","#Price:$997.99","Check Stock;(Opens in a new window)","","","","","",""

"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","","Lenovo Slim 7 Pro X Image;Lenovo Slim 7 Pro X;Check Stock;$1,747.00;at Amazon;(Opens in a new window)","HP Envy 16 Image;HP Envy 16;See It;$1,389.99;at HP;(Opens in a new window)","Dell XPS 15 OLED (9520) Image;Dell XPS 15 OLED (9520);See It;$2,099.00;at Dell;(Opens in a new window)","Apple MacBook Pro 16-Inch (2023, M2 Max) Image;Apple MacBook Pro 16-Inch (2023, M2 Max);See It;$2,499.00;at Apple.com;(Opens in a new window)","MSI CreatorPro X17 Image;MSI CreatorPro X17;See It;$2,799.00;at Amazon;(Opens in a new window)","Dell XPS 17 (9720) Image;Dell XPS 17 (9720);See It;$1,849.00;at Dell;(Opens in a new window)","Asus Vivobook Pro 16X OLED Image;Asus Vivobook Pro 16X OLED;See It;$1,358.99;at Amazon;(Opens in a new window)","HP Spectre x360 14 Image;HP Spectre x360 14;See It;$929.99;at HP;(Opens in a new window)","Microsoft Surface Laptop Studio Image;Microsoft Surface Laptop Studio;See It;$2,253.54;at Amazon;(Opens in a new window)","Asus ZenBook Duo 14 (2021) Image;Asus ZenBook Duo 14 (2021);See It;$1,394.99;at Amazon;(Opens in a new window)"
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","","#EditorsRating:Editors' Choice;5.0;Editor Review","#EditorsRating:Editors' Choice;4.5;Editor Review","#EditorsRating:Editors' Choice;4.5;Editor Review","#EditorsRating:Editors' Choice;4.5;Editor Review","#EditorsRating:Editors' Choice;4.5;Editor Review","#EditorsRating:Editors' Choice;4.0;Editor Review","#EditorsRating:4.0;Editor Review","#EditorsRating:Editors' Choice;4.5;Editor Review","#EditorsRating:4.0;Editor Review","#EditorsRating:Editors' Choice;4.0;Editor Review"
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","","#LaptopClass:Business, Workstation","#LaptopClass:Ultraportable","#LaptopClass:Desktop Replacement","#LaptopClass:Desktop Replacement","#LaptopClass:Workstation, Desktop Replacement","#LaptopClass:Desktop Replacement","#LaptopClass:Desktop Replacement","#LaptopClass:Convertible 2-in-1","#LaptopClass:Convertible 2-in-1","#LaptopClass:Ultraportable"
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","","#Processor:Apple M2 Max","#Processor:AMD Ryzen 9 6900HS","#Processor:Intel Core i7-12700H","#Processor:Intel Core i7-12700H","#Processor:Intel Core i9-12900HX","#Processor:Intel Core i7-12700H","#Processor:AMD Ryzen 9 5900HX","#Processor:Intel Core i7-1165G7","#Processor:Intel Core i7-11370H","#Processor:Intel Core i7-1165G7"
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","","#ProcessorSpeed:","#ProcessorSpeed:3.3 GHz","#ProcessorSpeed:","#ProcessorSpeed:","#ProcessorSpeed:","#ProcessorSpeed:2.3 GHz","#ProcessorSpeed:3.3 GHz","#ProcessorSpeed:2.8 GHz","#ProcessorSpeed:3.3 GHz","#ProcessorSpeed:2.8 GHz"
"https://www.pcmag.com/picks/the-best-laptops-for-video-editing","","#RamAsTested:96 GB","#RamAsTested:32 GB","#RamAsTested:16 GB","#RamAsTested:16 GB","#RamAsTested:64 GB","#RamAsTested:32 GB","#RamAsTested:32 GB","#RamAsTested:16 GB","#RamAsTested:32 GB","#RamAsTested:8 GB"
