,Price,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating,Name
0,$641.29,12:35,Windows 11,2.48 lbs,0.62 by 10.95 by 8.12 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,LCD,,1536 by 1024,12.4 inches,256 GB,SSD,8 GB,2.4 GHz,Intel Core i5-1135G7,Budget,4.0,Microsoft Surface Laptop Go 2
1,$599.99,11:32,Windows 11 Home,3.9 lbs,0.7 by 14.3 by 9.4 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,"1,920 by 1,080",15.6 inches,512 GB,SSD,16 GB,,Intel Core i5-1235U,Budget,4.0,Acer Aspire 5 (2022; A515-57-56UV)
2,$729.99,10:36,Windows 11 Home,3.31 lbs,0.69 by 12.3 by 8.9 inches,"Bluetooth, 802.11ax (Wi-Fi 6)",60 Hz,None,IPS,,1920 by 1200,14 inches,512 GB,SSD,16 GB,,Intel Core i5-1235U,Convertible 2-in-1,4.0,Lenovo IdeaPad Flex 5i 14-Inch (2022)
3,$529.99,8:25,Windows 11,2.53 lbs,0.35 by 11.22 by 7.36 inches,Wi-Fi 6E,60 Hz,None,LTPS,,2560 by 1600,12.35 inches,128 GB,SSD,8 GB,,Intel Core i3-1215U,Detachable 2-in-1,4.0,Lenovo IdeaPad Windows Duet 5i
4,$649.99,11:01,Windows 11 Home,4.58 lbs,0.81 by 15.78 by 10.15 inches,"802.11ax, Bluetooth",60 Hz,None,IPS,,1920 by 1080,17.3 inches,256 GB,SSD,8 GB,2.3 GHz,AMD Ryzen 5 5625U,Budget,4.0,HP Laptop 17 (2022)
5,$529.99,11:01,Windows 11 Pro,3.6 lbs,0.78 by 14.1 by 9.3 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,1920 by 1080,15.6 inches,512 GB,SSD,8 GB,,Intel Core i5-1235U,"Budget, Desktop Replacement",4.0,Lenovo IdeaPad 3i 15 (2022)
6,"$1,048.79",7:13,Windows 11 Home,5.29 lbs,0.95 by 14.1 by 10.3 inches,"Wi-Fi 6E, Bluetooth",165 Hz,G-Sync,IPS,,2560 by 1440,15.6 inches,512 GB,SSD,16 GB,,Intel Core i7-12700H,Gaming,4.0,Lenovo Legion 5i Gen 7
7,$349.99,11:07,Chrome OS,2.87 lbs,0.66 by 12.7 by 8.9 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,1920 by 1080,14 inches,64 GB,eMMC Flash Memory,8 GB,2.6 GHz,MediaTek Kompanio 828,Chromebook,4.0,Acer Chromebook 514 (2022; Kompanio 828)
8,$296.99,6:23,Chrome OS,2.5 lbs,0.7 by 10.6 by 8.5 inches,"802.11ac, Bluetooth",60 Hz,None,LCD,,1366 by 912,12 inches,64 GB,eMMC Flash Memory,4 GB,2.2 GHz,MediaTek Kompanio 820,"Convertible 2-in-1, Budget",4.0,Asus Chromebook Flip CM3
9,$379.00,6:01,Chrome OS,2.09 lbs,10.15 by 6.47 by 0.31 inches,802.11ac,60 Hz,None,IPS,,2000 by 1200,10.95 inches,64 GB,eMMC Flash Memory,4 GB,2.55 GHz,Qualcomm Snapdragon 7c Gen 2,"Chromebook, Detachable 2-in-1",3.5,Lenovo IdeaPad Duet 3 Chromebook
10,$181.32,12:01,Windows 10 S,3.09 lbs,0.78 by 12.88 by 9.25 inches,"802.11ac, Bluetooth",60 Hz,None,TN,,1920 by 1080,14 inches,128 GB,SSD,4 GB,1.4 GHz,AMD Athlon SIlver 3050e,Budget,4.0,Lenovo IdeaPad 1 14
