,Price,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating,Name
0,"$1,579.00",12:18,Windows 11 Pro,2.48 lbs,0.6 by 12.4 by 8.8 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,1920 by 1200,14 inches,512 GB,SSD,16 GB,,Intel Core i7-1260P,"Business, Ultraportable",5.0,Lenovo ThinkPad X1 Carbon Gen 10 (2022)
1,"$1,199.00",21:55,Apple macOS,3 lbs,0.61 by 12 by 8.4 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,,IPS,,2560 by 1600,13.3 inches,1 TB,SSD,16 GB,,Apple M2,Ultraportable,4.0,Apple MacBook Pro 13-Inch (2022; M2)
2,"$2,499.00",26:51,Apple macOS Ventura,4.8 lbs,0.66 by 14 by 9.8 inches,"Wi-Fi 6E, Bluetooth 5.3",120 Hz,ProMotion,Mini LED,,3456 by 2234,16.2 inches,4 TB,SSD,96 GB,,Apple M2 Max,"Business, Workstation",5.0,Apple MacBook Pro 16-Inch (2023; M2 Max)
3,"$1,475.10",7:44,Windows 11 Pro,6.4 lbs,1.2 by 14.3 by 10.5 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,3840 by 2400,16 inches,2 TB,SSD,64 GB,,Intel Core i9-12950HX,"Workstation, Business, Desktop Replacement",4.5,Lenovo ThinkPad P16 Gen 1
4,"$1,374.00",14:14,Windows 10 Pro,3.74 lbs,0.76 by 14.15 by 9.19 inches,"802.11ax, Bluetooth, 5G",60 Hz,None,IPS,,3840 by 2160,15.6 inches,512 GB,SSD,32 GB,3 GHz,Intel Core i7-1185G7,Workstation,4.0,HP ZBook Firefly 15 G8
5,"$1,034.50",17:46,Windows 11 Home,2.78 lbs,0.55 by 11.59 by 7.86 inches,"Wi-Fi 6E, Bluetooth 5.2",60 Hz,None,IPS,,1920 by 1200,13.3 inches,512 GB,SSD,16 GB,2.7 GHz,AMD Ryzen 7 Pro 6850U,Ultraportable,4.5,Lenovo ThinkPad Z13
6,"$2,379.00",12:07,Windows 11 Pro,3.09 lbs,0.7 by 11.7 by 9.2 inches,Wi-Fi 6E,60 Hz,None,IPS,,"1,920 by 1,280",13.5 inches,512 GB,SSD,16 GB,,Intel Core i7-1265U,"Convertible 2-in-1, Business",4.0,HP Dragonfly Folio G3
7,"$1,359.00",17:46,Windows 10,2.7 lbs,0.68 by 12.65 by 8.22 inches,"802.11ax, Bluetooth",60 Hz,None,IPS,,"1,920 by 1,080",14 inches,256 GB,SSD,16 GB,3 GHz,Intel Core i7-1185G7,"Business, Ultraportable",4.0,Dell Latitude 7420
8,$840.00,13:19,Windows 11 Pro,3.31 lbs,0.67 by 12.6 by 8.5 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,1920 by 1080,14 inches,512 GB,SSD,16 GB,,Intel Core i7-1255U,"Convertible 2-in-1, Business",3.5,Lenovo ThinkBook 14s Yoga Gen 2
9,$849.99,12:34,Windows 11,1.96 lbs,0.37 by 11.3 by 8.2 inches,"802.11ax (Wi-Fi 6), Bluetooth",120 Hz,None,IPS,,2880 by 1920,13 inches,256 GB,SSD,16 GB,3 GHz,Intel Core i7-1185G7,Detachable 2-in-1,4.0,Microsoft Surface Pro 8
10,"$1,709.00",14:41,Windows 11 Pro,4.35 lbs,1.3 by 13.4 by 8.6 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,"1,920 by 1,080",14 inches,512 GB,SSD,16 GB,3 GHz,Intel Core i7-1185G7,Rugged,4.0,Dell Latitude 5430 Rugged
11,$1149.00,10:32,Google Chrome OS,2.8 lbs,0.65 by 11.6 by 8.7 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,"2,256 by 1,504",13.5 inches,256 GB,SSD,8 GB,,Intel Core i5-1245U,"Chromebook, Business, Convertible 2-in-1",4.0,HP Elite Dragonfly Chromebook
