,Price,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating,Name
0,$569.99,9:30,Windows 11 Pro,3.09 lbs,0.72 by 12.3 by 8.8 inches,802.11ax (Wi-Fi 6),90 Hz,None,OLED,,"2,880 by 1,800",14 inches,1 TB,SSD,16 GB,,Intel Core i7-12700H,Ultraportable,Editors' Choice;4.0;Editor Review,HP Pavilion Plus 14
1,$708.99,29:01,Apple macOS,2.8 lbs,0.63 by 11.97 by 8.36 inches,"802.11ax, Bluetooth",60 Hz,None,IPS,,2560 by 1600,13.3 inches,256 GB,SSD,8 GB,3.2 GHz,Apple M1,Ultraportable,Editors' Choice;4.5;Editor Review,Apple MacBook Air (M1; Late 2020)
2,$641.29,12:35,Windows 11,2.48 lbs,0.62 by 10.95 by 8.12 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,LCD,,1536 by 1024,12.4 inches,256 GB,SSD,8 GB,2.4 GHz,Intel Core i5-1135G7,Budget,4.0;Editor Review,Microsoft Surface Laptop Go 2
3,"$1,259.99",13:56,Windows 11 Home,2.42 lbs,0.59 by 12.3 by 8.5 inches,"802.11ax (Wi-Fi 6), Bluetooth",90 Hz,None,OLED,,2880 by 1800,14 inches,512 GB,SSD,16 GB,1.9 GHz,AMD Ryzen 7 5800U,Ultraportable,Editors' Choice;4.0;Editor Review,Lenovo IdeaPad Slim 7 Carbon
4,$729.99,10:36,Windows 11 Home,3.31 lbs,0.69 by 12.3 by 8.9 inches,"Bluetooth, 802.11ax (Wi-Fi 6)",60 Hz,None,IPS,,1920 by 1200,14 inches,512 GB,SSD,16 GB,,Intel Core i5-1235U,Convertible 2-in-1,4.0;Editor Review,Lenovo IdeaPad Flex 5i 14-Inch (2022)
5,"$1,048.79",7:13,Windows 11 Home,5.29 lbs,0.95 by 14.1 by 10.3 inches,"Wi-Fi 6E, Bluetooth",165 Hz,G-Sync,IPS,,2560 by 1440,15.6 inches,512 GB,SSD,16 GB,,Intel Core i7-12700H,Gaming,4.0;Editor Review,Lenovo Legion 5i Gen 7
6,"$1,859.99",13:47,Windows 10,4.43 lbs,0.75 by 13.99 by 9.74 inches,"802.11ax, Bluetooth",60 Hz,None,LED,,3072 by 1920,16 inches,512 GB,SSD,16 GB,2.3 GHz,Intel Core i7-11800H,Desktop Replacement,Editors' Choice;4.0;Editor Review,Dell Inspiron 16 Plus (7610)
7,$649.99,11:01,Windows 11 Home,4.58 lbs,0.81 by 15.78 by 10.15 inches,"802.11ax, Bluetooth",60 Hz,None,IPS,,1920 by 1080,17.3 inches,256 GB,SSD,8 GB,2.3 GHz,AMD Ryzen 5 5625U,Budget,Editors' Choice;4.0;Editor Review,HP Laptop 17 (2022)
8,$529.99,8:25,Windows 11,2.53 lbs,0.35 by 11.22 by 7.36 inches,Wi-Fi 6E,60 Hz,None,LTPS,,2560 by 1600,12.35 inches,128 GB,SSD,8 GB,,Intel Core i3-1215U,Detachable 2-in-1,Editors' Choice;4.0;Editor Review,Lenovo IdeaPad Windows Duet 5i
9,$679.00,12:52,Chrome OS,3.09 lbs,0.71 by 12.3 by 8.8 inches,"Bluetooth, 802.11ax (Wi-Fi 6)",60 Hz,None,IPS,,1920 by 1200,14 inches,256 GB,SSD,8 GB,,Intel Core i5-1235U,Chromebook,Editors' Choice;4.5;Editor Review,Acer Chromebook Spin 714
